"survey_period","site","live_coral_pct","ci_coral_cover","pct_healthy","pct_bleached","pct_diseased","pct_dead","ci_healthy","ci_bleaching","ci_disease","pct_large_colonies","mean_recruits_m2","ci_recruitment","mean_urchin_m2","mean_cots_ha","tridacna_present","ci_cots","ci_urchin","ci_tridacna","mean_biomass_kg_ha","mean_richness","ci_fish_biomass","ci_fish_richness","pa_name","pa_type"
"Jul_2025","Richard Bennett",29.36,0.978666666666667,96,0,0,2.66666666666667,1,1,1,27.6315789473684,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Watamu Marine Park","No-take MPA"
"Jul_2025","Roka 1",8.08,0.269333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access"
"Jul_2025","Turtle Reef",19.6,0.653333333333333,95.8333333333333,0,0,4.16666666666667,1,1,1,20.4081632653061,0.0308641975308642,0.0308641975308642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Watamu Marine Park","No-take MPA"
"Jul_2025","Uyombo",30.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access"
"Jul_2025","Watamu Coral Garden",22.48,0.749333333333333,91.4893617021277,0,0,8.51063829787234,0.963045912653975,1,1,42.8571428571429,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Watamu Marine Park","No-take MPA"
"Nov_2024","Kanamai",47.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Kilifi",48.3333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Malindi MPA",46.4285714285714,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Mtwapa",45.9090909090909,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Ras Kitau",12.8571428571429,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Ras ngomeni",39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jul_2025","Roka",NA,NA,100,0,0,0,1,1,1,50,0.00617283950617282,0.00617283950617282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access"
"Jul_2025","Wesa",NA,NA,100,0,0,0,1,1,1,10.1851851851852,0.141975308641975,0.141975308641975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access"
"Jul_2025","Whale island/Uyombo",NA,NA,85.3932584269663,0,0,14.6067415730337,0.898876404494382,1,1,28.2608695652174,0.141975308641975,0.141975308641975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Watamu Marine Park","No-take MPA"
"Nov_2024","Inner",NA,NA,85.7142857142857,3.57142857142857,0,1.78571428571429,0.902255639097744,0.285714285714286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Lobster Reef",NA,NA,66.6666666666667,0,0,33.3333333333333,0.701754385964912,1,1,NA,0.0202020202020202,0.0202020202020202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Outer",NA,NA,71.4285714285714,28.5714285714286,0,0,0.75187969924812,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Watamu Coral Garden",NA,NA,70.8333333333333,0,0,29.1666666666667,0.745614035087719,1,1,NA,0,0,0,0,TRUE,1,0,1,NA,NA,NA,NA,"Watamu Marine Park","No-take MPA"
"Nov_2024","Wesa",NA,NA,89.7810218978102,0.72992700729927,0,5.10948905109489,0.945063388398002,0.854014598540146,1,NA,0.0606060606060606,0.0606060606060606,0,0,FALSE,1,0,0,NA,NA,NA,NA,"Unprotected","Open access"
"Nov_2024","Bamsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2222222222222,0,0,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Maliwai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Ngomeni Outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3469387755102,0,0,0,0,FALSE,1,0,0,NA,NA,NA,NA,"Malindi MPA","Managed MPA"
"Nov_2024","Ras Ngomeni Inner",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8421052631579,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Roka 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,233.938278005724,12,0.203424589570195,1,"Unprotected","Open access"
"Nov_2024","Takaungu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access"
"Nov_2024","Wesa 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5263157894737,0.00799999999999999,0.00799999999999999,NA,NA,NA,NA,NA,NA,178.027576641132,12,0.154806588383593,1,"Unprotected","Open access"
"Nov_2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Bofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,"Unprotected","Open access"
"Nov_2024","Boso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Chipopo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Chole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Iweni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Jumba Ruins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0,TRUE,1,0.0205714285714286,1,NA,NA,NA,NA,"Unprotected","Open access"
"Nov_2024","Kadhikia Kuru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Kanamai Community Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0,TRUE,1,0.0068571428571429,1,NA,NA,NA,NA,"Kanamai Community Park","Community CPA"
"Nov_2024","Kui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Kuruwitu Community Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0,TRUE,1,0.0365714285714286,1,99.6065349205893,11.5,0.0866143781918168,0.958333333333333,"Kuruwitu Community Park","Community CPA"
"Nov_2024","Lobster reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Makadhikia ya ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Malindi Coral Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,"Malindi MPA","Managed MPA"
"Nov_2024","Matewa Ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Mike Inn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Mkomanga ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Muhindi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Mwaluai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Ndothi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Ngololo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,TRUE,1,0.114285714285714,1,22.0984824719493,6,0.0192160717147385,0.5,NA,NA
"Nov_2024","Nyali coral garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0,FALSE,1,0.0148571428571429,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Punju Ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Ras watine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0,TRUE,1,0.00114285714285711,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Roka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0,FALSE,1,0.0388571428571429,0,NA,NA,NA,NA,"Unprotected","Open access"
"Nov_2024","Sagafu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Serena Beach  Navy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","Shimo la tewa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Starfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0,TRUE,1,0.125714285714286,1,NA,NA,NA,NA,NA,NA
"Nov_2024","Tenewi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Nov_2024","ngomeni inn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA,NA,NA
"Jul_2025","Roka 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.969139002862,12,0.101712294785098,1,"Unprotected","Open access"
"Jul_2025","Wesa 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.0137883205659,12,0.0774032941917964,1,"Unprotected","Open access"
"Jul_2025","Wesa 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99488279762611,1,0.00173468069358792,0.0833333333333333,"Unprotected","Open access"
