"survey_period","condition_indicator","unit","reference_level","confidence","mean_value","se_value","mean_ci","n_sites"
"Nov_2024","Bleached coral colonies","% colonies","<5% background (Hoegh-Guldberg 1999)","MEDIUM",6.574,5.538,0.628,5
"Nov_2024","Coral recruit density","recruits/m2","1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",0.01,0.007,0.01,9
"Nov_2024","Crown-of-thorns density","ind/ha","Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",0,0,1,34
"Nov_2024","Diseased coral colonies","% colonies","<2% background (Bourne et al. 2009)","MEDIUM",0,0,1,5
"Nov_2024","Fish biomass","kg/ha","1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH",238.301,113.602,0.207,9
"Nov_2024","Fish species richness","species count","Max observed in dataset","MEDIUM",11.167,2.167,0.558,9
"Nov_2024","Healthy coral colonies","% colonies","95% healthy (non-bleaching year baseline)","MEDIUM",76.885,4.556,0.809,5
"Nov_2024","Live hard coral cover","%",">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",40.005,5.597,0.905,6
"Nov_2024","Sea urchin density","ind/m2","1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",0.018,0.009,0.011,34
