"survey_period","site","live_coral_pct","ci_coral_cover","pct_healthy","pct_bleached","pct_diseased","pct_dead","ci_healthy","ci_bleaching","ci_disease","pct_large_colonies","mean_recruits_m2","ci_recruitment","mean_urchin_m2","mean_cots_ha","tridacna_present","ci_cots","ci_urchin","ci_tridacna","pa_name","pa_type","mean_biomass_kg_ha","mean_richness"
"Nov_2024","Kanamai",47.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Kilifi",48.3333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Malindi MPA",46.4285714285714,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Mtwapa",45.9090909090909,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Ras Kitau",12.8571428571429,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Ras ngomeni",39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Bamsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2222222222222,0,0,0,0,FALSE,1,0,0,NA,NA,1.47998747467383,1.5
"Nov_2024","Inner",NA,NA,85.7142857142857,3.57142857142857,0,1.78571428571429,0.902255639097744,0.285714285714286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Lobster Reef",NA,NA,66.6666666666667,0,0,33.3333333333333,0.701754385964912,1,1,NA,0.0202020202020202,0.0202020202020202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Maliwai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Outer",NA,NA,71.4285714285714,28.5714285714286,0,0,0.75187969924812,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Roka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0,FALSE,1,0.0388571428571429,0,"Unprotected","Open access",NA,NA
"Nov_2024","Watamu Coral Garden",NA,NA,70.8333333333333,0,0,29.1666666666667,0.745614035087719,1,1,NA,0,0,0,0,TRUE,1,0,1,"Watamu Marine Park","No-take MPA",NA,NA
"Nov_2024","Wesa",NA,NA,89.7810218978102,0.72992700729927,0,5.10948905109489,0.945063388398002,0.854014598540146,1,NA,0.0606060606060606,0.0606060606060606,0,0,FALSE,1,0,0,"Unprotected","Open access",NA,NA
"Nov_2024","Ngomeni Outer",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3469387755102,0,0,0,0,FALSE,1,0,0,"Malindi MPA","Managed MPA",17.6091236127855,3
"Nov_2024","Ras Ngomeni Inner",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8421052631579,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nov_2024","Roka 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"Unprotected","Open access",NA,NA
"Nov_2024","Takaungu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unprotected","Open access",NA,NA
"Nov_2024","Wesa 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5263157894737,0.00799999999999999,0.00799999999999999,NA,NA,NA,NA,NA,NA,"Unprotected","Open access",NA,NA
"Nov_2024","Bofa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,"Unprotected","Open access",467.190359047256,16
"Nov_2024","Boso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Chipopo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Chole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Iweni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Jumba Ruins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,0,TRUE,1,0.0205714285714286,1,"Unprotected","Open access",NA,NA
"Nov_2024","Kadhikia Kuru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Kanamai Community Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0,TRUE,1,0.0068571428571429,1,"Kanamai Community Park","Community CPA",NA,NA
"Nov_2024","Kui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Kuruwitu Community Park",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,0,TRUE,1,0.0365714285714286,1,"Kuruwitu Community Park","Community CPA",105.998465520666,12
"Nov_2024","Lobster reef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,325.09271944602,20
"Nov_2024","Makadhikia ya ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Malindi Coral Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,"Malindi MPA","Managed MPA",1044.66121358264,17.5
"Nov_2024","Matewa Ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Mike Inn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Mkomanga ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Muhindi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Mwaluai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,87.0599845672017,9.5
"Nov_2024","Ndothi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Ngololo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,TRUE,1,0.114285714285714,1,NA,NA,22.2155880379206,6.5
"Nov_2024","Nyali coral garden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,0,FALSE,1,0.0148571428571429,0,NA,NA,NA,NA
"Nov_2024","Punju Ziwayuu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Ras watine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,0,TRUE,1,0.00114285714285711,1,NA,NA,NA,NA
"Nov_2024","Sagafu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Serena Beach  Navy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","Shimo la tewa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,1,0,1,NA,NA,NA,NA
"Nov_2024","Starfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0,TRUE,1,0.125714285714286,1,NA,NA,NA,NA
"Nov_2024","Tenewi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,NA,NA
"Nov_2024","ngomeni inn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,1,0,0,NA,NA,73.4063039781986,14.5
