Ecosystem_type,Area,Date,Indicator_group,Indicator,Variable,Unit,Value_2024,CI_2024,Reference_value,Reference_confidence,Notes
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.728,0.728,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.375, CI_density_mean=0.81."
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,3,0.375,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,81.19,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,16.25,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,7,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,17.6,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,12.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,41.45,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,2922.2,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,5333.3,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Syringodium isoetifolium,Mean shoot density,shoots/m2,3466.7,0.257,13511.111111111113,LOW,Reference = max observed across sites (13511.1 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1288.9,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1543.4,0.792,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea serrulata,Mean canopy height,cm,8.2,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,7.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,6.67,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,16.7,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea serrulata,Mean shoot density,shoots/m2,2240,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. serrulata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Shoot density — Syringodium isoetifolium,Mean shoot density,shoots/m2,13511.1,1,13511.111111111113,LOW,Reference = max observed across sites (13511.1 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1925.9,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,644.4,0.331,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,13.67,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,6.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Halodule wrightii,Mean canopy height,cm,9,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Halophila stipulacea,Mean canopy height,cm,4.25,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,10.89,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,15.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,1674.1,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,8444.4,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Halodule wrightii,Mean shoot density,shoots/m2,8288.9,1,8288.88888888889,LOW,Reference = max observed across sites (8288.9 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Halophila stipulacea,Mean shoot density,shoots/m2,3666.7,1,3666.666666666667,LOW,Reference = max observed across sites (3666.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1656.1,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kanamai,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1488.9,0.764,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Kanamai -Jumba ruins,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.809,0.809,1,LOW,"PROVISIONAL composite. Components: CI_cover=0.993, CI_richness=0.625, CI_density_mean=NA."
Seagrass meadows (M1.1),Kanamai -Jumba ruins,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,5,0.625,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Kanamai -Jumba ruins,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,59.57,0.993,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Kikambala,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.73,0.73,1,LOW,"PROVISIONAL composite. Components: CI_cover=0.941, CI_richness=0.25, CI_density_mean=1."
Seagrass meadows (M1.1),Kikambala,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,2,0.25,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Kikambala,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,56.46,0.941,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Kikambala,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,12.54,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kikambala,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1377.8,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.781,0.781,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.375, CI_density_mean=0.967."
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,3,0.375,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,60.35,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,10.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,9,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Canopy height — Halodule wrightii,Mean canopy height,cm,9.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,11.69,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,2277.8,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,2257.8,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Shoot density — Halodule wrightii,Mean shoot density,shoots/m2,7200,0.869,8288.88888888889,LOW,Reference = max observed across sites (8288.9 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Kuruwitu,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1562.4,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Malindi marine park,2024-11-16,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.701,0.701,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.375, CI_density_mean=0.728."
Seagrass meadows (M1.1),Malindi marine park,2024-11-17,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.826,0.826,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.75, CI_density_mean=0.728."
Seagrass meadows (M1.1),Malindi marine park,2024-11-16,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,3,0.375,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Malindi marine park,2024-11-17,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,6,0.75,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Malindi marine park,2024-11-16,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,80.34,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Malindi marine park,2024-11-17,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,80.58,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Malindi marine park,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,33.08,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Malindi marine park,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1417.8,0.728,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Marereni,2024-11-13,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.752,0.752,1,LOW,"PROVISIONAL composite. Components: CI_cover=0.963, CI_richness=0.625, CI_density_mean=0.668."
Seagrass meadows (M1.1),Marereni,2024-11-13,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,5,0.625,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Marereni,2024-11-13,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,57.75,0.963,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,17,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,12.62,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Canopy height — Halophila ovalis,Mean canopy height,cm,2.8,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,15.67,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,12.3,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,622.2,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,4333.3,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Shoot density — Halophila ovalis,Mean shoot density,shoots/m2,2231.1,0.784,2844.4444444444443,LOW,Reference = max observed across sites (2844.4 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Shoot density — Syringodium isoetifolium,Mean shoot density,shoots/m2,2044.4,0.151,13511.111111111113,LOW,Reference = max observed across sites (13511.1 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Marereni,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,791.1,0.406,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Ngomeni,2024-11-15,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.942,0.942,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=1, CI_density_mean=0.825."
Seagrass meadows (M1.1),Ngomeni,2024-11-15,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,8,1,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Ngomeni,2024-11-15,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,77.44,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,13.33,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea serrulata,Mean canopy height,cm,20.67,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Enhalus acoroides,Mean canopy height,cm,57.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,13.42,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Halophila ovalis,Mean canopy height,cm,4,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,31,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,30,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,1051.9,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea serrulata,Mean shoot density,shoots/m2,1007.4,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. serrulata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Enhalus acoroides,Mean shoot density,shoots/m2,477.8,1,100,LOW,PROVISIONAL ref 100 shoots/m² (E. acoroides WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,1833.3,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Halophila ovalis,Mean shoot density,shoots/m2,2844.4,1,2844.4444444444443,LOW,Reference = max observed across sites (2844.4 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Syringodium isoetifolium,Mean shoot density,shoots/m2,3540.7,0.262,13511.111111111113,LOW,Reference = max observed across sites (13511.1 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Ngomeni,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,995.6,0.511,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.833,0.833,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.5, CI_density_mean=1."
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,4,0.5,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,71.53,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,16,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,11.57,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,37.92,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,1244.4,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1415.9,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Roka,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1948.7,1,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Takaungu,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.692,0.692,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.375, CI_density_mean=0.7."
Seagrass meadows (M1.1),Takaungu,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,3,0.375,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Takaungu,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,74.05,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Takaungu,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,20,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Takaungu,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1364.4,0.7,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.805,0.805,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.5, CI_density_mean=0.916."
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,4,0.5,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,84.3,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,11.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,12,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,25.33,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,1177.8,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1968.3,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Wesa,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1455.6,0.747,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
