"Sites","Variable","Opening_Year","Opening_Value","Closing_Year","Closing_Value","Absolute_Change","Percent_Change","Unit"
"AMBATOMILO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBITIKY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANAKAO","COTS density",2025,25,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANDRAVONA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANKARAMIFIOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEFASY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","COTS density",2025,25,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEVATO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FIERENAMASAY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FITSITIKA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"IFATY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MANGILY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MAROMENA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MOROMBE","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"NOSY SATRA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"RATAFENJIKA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"RETSELA","COTS density",2025,50,2026,NA,NA,NA,"ind/ha"
"SALARY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"TANILAHY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"TSANDAMBA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBATOMILO","Fish abundance (total)",2025,NA,2026,9000,NA,NA,"ind/ha"
"AMBITIKY","Fish abundance (total)",2025,31125,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","Fish abundance (total)",2025,41650,2026,NA,NA,NA,"ind/ha"
"AMBOLA","Fish abundance (total)",2025,28925,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","Fish abundance (total)",2025,19100,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","Fish abundance (total)",2025,NA,2026,14100,NA,NA,"ind/ha"
"ANAKAO","Fish abundance (total)",2025,38125,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","Fish abundance (total)",2025,NA,2026,24188.8888888889,NA,NA,"ind/ha"
"ANDRAVONA","Fish abundance (total)",2025,NA,2026,26750,NA,NA,"ind/ha"
"ANKARAMIFIOKY","Fish abundance (total)",2025,NA,2026,33850,NA,NA,"ind/ha"
"BEFASY","Fish abundance (total)",2025,19950,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","Fish abundance (total)",2025,33200,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","Fish abundance (total)",2025,NA,2026,39290,NA,NA,"ind/ha"
"BEVATO","Fish abundance (total)",2025,NA,2026,27675,NA,NA,"ind/ha"
"FIERENAMASAY","Fish abundance (total)",2025,NA,2026,13500,NA,NA,"ind/ha"
"FITSITIKA","Fish abundance (total)",2025,16466.6666666667,2026,NA,NA,NA,"ind/ha"
"IFATY","Fish abundance (total)",2025,20425,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","Fish abundance (total)",2025,19925,2026,NA,NA,NA,"ind/ha"
"MANGILY","Fish abundance (total)",2025,14838.8888888889,2026,NA,NA,NA,"ind/ha"
"MAROMENA","Fish abundance (total)",2025,37900,2026,NA,NA,NA,"ind/ha"
"MOROMBE","Fish abundance (total)",2025,NA,2026,11383.3333333333,NA,NA,"ind/ha"
"NOSY SATRA","Fish abundance (total)",2025,12600,2026,NA,NA,NA,"ind/ha"
"RATAFENJIKA","Fish abundance (total)",2025,NA,2026,9925,NA,NA,"ind/ha"
"RETSELA","Fish abundance (total)",2025,50950,2026,NA,NA,NA,"ind/ha"
"SALARY","Fish abundance (total)",2025,NA,2026,23075,NA,NA,"ind/ha"
"TANILAHY","Fish abundance (total)",2025,28700,2026,NA,NA,NA,"ind/ha"
"TSANDAMBA","Fish abundance (total)",2025,NA,2026,39300,NA,NA,"ind/ha"
"AMBATOMILO","Fish biomass (total)",2025,NA,2026,498.456404187365,NA,NA,"kg/ha"
"AMBITIKY","Fish biomass (total)",2025,4706.6069400179,2026,NA,NA,NA,"kg/ha"
"AMBOHIBOLA","Fish biomass (total)",2025,2521.74498550002,2026,NA,NA,NA,"kg/ha"
"AMBOLA","Fish biomass (total)",2025,1831.67381688752,2026,NA,NA,NA,"kg/ha"
"AMBOLAFOTY","Fish biomass (total)",2025,2107.2807388156,2026,NA,NA,NA,"kg/ha"
"AMPASINDAVA","Fish biomass (total)",2025,NA,2026,608.17465428398,NA,NA,"kg/ha"
"ANAKAO","Fish biomass (total)",2025,1633.65447505877,2026,NA,NA,NA,"kg/ha"
"ANDAVADOAKY","Fish biomass (total)",2025,NA,2026,1890.61560217894,NA,NA,"kg/ha"
"ANDRAVONA","Fish biomass (total)",2025,NA,2026,2144.71109679064,NA,NA,"kg/ha"
"ANKARAMIFIOKY","Fish biomass (total)",2025,NA,2026,3226.59880286394,NA,NA,"kg/ha"
"BEFASY","Fish biomass (total)",2025,634.667928913839,2026,NA,NA,NA,"kg/ha"
"BEHELOKY","Fish biomass (total)",2025,3765.62375581594,2026,NA,NA,NA,"kg/ha"
"BELAVENOKY","Fish biomass (total)",2025,NA,2026,2367.86066040216,NA,NA,"kg/ha"
"BEVATO","Fish biomass (total)",2025,NA,2026,1662.69585732723,NA,NA,"kg/ha"
"FIERENAMASAY","Fish biomass (total)",2025,NA,2026,862.754060666074,NA,NA,"kg/ha"
"FITSITIKA","Fish biomass (total)",2025,620.935213758866,2026,NA,NA,NA,"kg/ha"
"IFATY","Fish biomass (total)",2025,600.668674416521,2026,NA,NA,NA,"kg/ha"
"ITAMPOLO","Fish biomass (total)",2025,2117.42709109368,2026,NA,NA,NA,"kg/ha"
"MANGILY","Fish biomass (total)",2025,849.357156588198,2026,NA,NA,NA,"kg/ha"
"MAROMENA","Fish biomass (total)",2025,1102.88612224773,2026,NA,NA,NA,"kg/ha"
"MOROMBE","Fish biomass (total)",2025,NA,2026,966.375816701421,NA,NA,"kg/ha"
"NOSY SATRA","Fish biomass (total)",2025,843.801768330853,2026,NA,NA,NA,"kg/ha"
"RATAFENJIKA","Fish biomass (total)",2025,NA,2026,765.886070503051,NA,NA,"kg/ha"
"RETSELA","Fish biomass (total)",2025,3934.58623232089,2026,NA,NA,NA,"kg/ha"
"SALARY","Fish biomass (total)",2025,NA,2026,3478.43992205299,NA,NA,"kg/ha"
"TANILAHY","Fish biomass (total)",2025,1662.45516080836,2026,NA,NA,NA,"kg/ha"
"TSANDAMBA","Fish biomass (total)",2025,NA,2026,2829.06836453314,NA,NA,"kg/ha"
"AMBATOMILO","Fish species richness",2025,NA,2026,34,NA,NA,"count"
"AMBITIKY","Fish species richness",2025,52,2026,NA,NA,NA,"count"
"AMBOHIBOLA","Fish species richness",2025,53,2026,NA,NA,NA,"count"
"AMBOLA","Fish species richness",2025,70,2026,NA,NA,NA,"count"
"AMBOLAFOTY","Fish species richness",2025,30,2026,NA,NA,NA,"count"
"AMPASINDAVA","Fish species richness",2025,NA,2026,25,NA,NA,"count"
"ANAKAO","Fish species richness",2025,51,2026,NA,NA,NA,"count"
"ANDAVADOAKY","Fish species richness",2025,NA,2026,100,NA,NA,"count"
"ANDRAVONA","Fish species richness",2025,NA,2026,38,NA,NA,"count"
"ANKARAMIFIOKY","Fish species richness",2025,NA,2026,48,NA,NA,"count"
"BEFASY","Fish species richness",2025,27,2026,NA,NA,NA,"count"
"BEHELOKY","Fish species richness",2025,77,2026,NA,NA,NA,"count"
"BELAVENOKY","Fish species richness",2025,NA,2026,103,NA,NA,"count"
"BEVATO","Fish species richness",2025,NA,2026,62,NA,NA,"count"
"FIERENAMASAY","Fish species richness",2025,NA,2026,30,NA,NA,"count"
"FITSITIKA","Fish species richness",2025,54,2026,NA,NA,NA,"count"
"IFATY","Fish species richness",2025,68,2026,NA,NA,NA,"count"
"ITAMPOLO","Fish species richness",2025,68,2026,NA,NA,NA,"count"
"MANGILY","Fish species richness",2025,94,2026,NA,NA,NA,"count"
"MAROMENA","Fish species richness",2025,41,2026,NA,NA,NA,"count"
"MOROMBE","Fish species richness",2025,NA,2026,56,NA,NA,"count"
"NOSY SATRA","Fish species richness",2025,39,2026,NA,NA,NA,"count"
"RATAFENJIKA","Fish species richness",2025,NA,2026,39,NA,NA,"count"
"RETSELA","Fish species richness",2025,70,2026,NA,NA,NA,"count"
"SALARY","Fish species richness",2025,NA,2026,86,NA,NA,"count"
"TANILAHY","Fish species richness",2025,36,2026,NA,NA,NA,"count"
"TSANDAMBA","Fish species richness",2025,NA,2026,49,NA,NA,"count"
"AMBATOMILO","Giant clam abundance",2025,NA,2026,0.75,NA,NA,"count/transect"
"AMBITIKY","Giant clam abundance",2025,3.5,2026,NA,NA,NA,"count/transect"
"AMBOHIBOLA","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"AMBOLA","Giant clam abundance",2025,3.25,2026,NA,NA,NA,"count/transect"
"AMBOLAFOTY","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"AMPASINDAVA","Giant clam abundance",2025,NA,2026,16.5,NA,NA,"count/transect"
"ANAKAO","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"ANDAVADOAKY","Giant clam abundance",2025,NA,2026,0.789473684210526,NA,NA,"count/transect"
"ANDRAVONA","Giant clam abundance",2025,NA,2026,8,NA,NA,"count/transect"
"ANKARAMIFIOKY","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"BEFASY","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"BEHELOKY","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"BELAVENOKY","Giant clam abundance",2025,NA,2026,0.2,NA,NA,"count/transect"
"BEVATO","Giant clam abundance",2025,NA,2026,0.5,NA,NA,"count/transect"
"FIERENAMASAY","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"FITSITIKA","Giant clam abundance",2025,1.8,2026,NA,NA,NA,"count/transect"
"IFATY","Giant clam abundance",2025,0.72,2026,NA,NA,NA,"count/transect"
"ITAMPOLO","Giant clam abundance",2025,3.25,2026,NA,NA,NA,"count/transect"
"MANGILY","Giant clam abundance",2025,0.8,2026,NA,NA,NA,"count/transect"
"MAROMENA","Giant clam abundance",2025,0.5,2026,NA,NA,NA,"count/transect"
"MOROMBE","Giant clam abundance",2025,NA,2026,0.5,NA,NA,"count/transect"
"NOSY SATRA","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"RATAFENJIKA","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"RETSELA","Giant clam abundance",2025,0.75,2026,NA,NA,NA,"count/transect"
"SALARY","Giant clam abundance",2025,NA,2026,0.75,NA,NA,"count/transect"
"TANILAHY","Giant clam abundance",2025,0,2026,NA,NA,NA,"count/transect"
"TSANDAMBA","Giant clam abundance",2025,NA,2026,0,NA,NA,"count/transect"
"AMBATOMILO","Macroinvertebrate richness",2025,NA,2026,6,NA,NA,"count"
"AMBITIKY","Macroinvertebrate richness",2025,17,2026,NA,NA,NA,"count"
"AMBOHIBOLA","Macroinvertebrate richness",2025,5,2026,NA,NA,NA,"count"
"AMBOLA","Macroinvertebrate richness",2025,17,2026,NA,NA,NA,"count"
"AMBOLAFOTY","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"AMPASINDAVA","Macroinvertebrate richness",2025,NA,2026,4,NA,NA,"count"
"ANAKAO","Macroinvertebrate richness",2025,9,2026,NA,NA,NA,"count"
"ANDAVADOAKY","Macroinvertebrate richness",2025,NA,2026,11,NA,NA,"count"
"ANDRAVONA","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"ANKARAMIFIOKY","Macroinvertebrate richness",2025,NA,2026,2,NA,NA,"count"
"BEFASY","Macroinvertebrate richness",2025,11,2026,NA,NA,NA,"count"
"BEHELOKY","Macroinvertebrate richness",2025,20,2026,NA,NA,NA,"count"
"BELAVENOKY","Macroinvertebrate richness",2025,NA,2026,8,NA,NA,"count"
"BEVATO","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"FIERENAMASAY","Macroinvertebrate richness",2025,NA,2026,2,NA,NA,"count"
"FITSITIKA","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"IFATY","Macroinvertebrate richness",2025,12,2026,NA,NA,NA,"count"
"ITAMPOLO","Macroinvertebrate richness",2025,16,2026,NA,NA,NA,"count"
"MANGILY","Macroinvertebrate richness",2025,7,2026,NA,NA,NA,"count"
"MAROMENA","Macroinvertebrate richness",2025,13,2026,NA,NA,NA,"count"
"MOROMBE","Macroinvertebrate richness",2025,NA,2026,10,NA,NA,"count"
"NOSY SATRA","Macroinvertebrate richness",2025,14,2026,NA,NA,NA,"count"
"RATAFENJIKA","Macroinvertebrate richness",2025,NA,2026,5,NA,NA,"count"
"RETSELA","Macroinvertebrate richness",2025,11,2026,NA,NA,NA,"count"
"SALARY","Macroinvertebrate richness",2025,NA,2026,14,NA,NA,"count"
"TANILAHY","Macroinvertebrate richness",2025,10,2026,NA,NA,NA,"count"
"TSANDAMBA","Macroinvertebrate richness",2025,NA,2026,3,NA,NA,"count"
"AMBATOMILO","Sea urchin density",2025,NA,2026,0.1675,NA,NA,"ind/m²"
"AMBITIKY","Sea urchin density",2025,1.25,2026,NA,NA,NA,"ind/m²"
"AMBOHIBOLA","Sea urchin density",2025,0.52,2026,NA,NA,NA,"ind/m²"
"AMBOLA","Sea urchin density",2025,0.515,2026,NA,NA,NA,"ind/m²"
"AMBOLAFOTY","Sea urchin density",2025,0,2026,NA,NA,NA,"ind/m²"
"AMPASINDAVA","Sea urchin density",2025,NA,2026,1.895,NA,NA,"ind/m²"
"ANAKAO","Sea urchin density",2025,0.175,2026,NA,NA,NA,"ind/m²"
"ANDAVADOAKY","Sea urchin density",2025,NA,2026,1.5605,NA,NA,"ind/m²"
"ANDRAVONA","Sea urchin density",2025,NA,2026,1.995,NA,NA,"ind/m²"
"ANKARAMIFIOKY","Sea urchin density",2025,NA,2026,0,NA,NA,"ind/m²"
"BEFASY","Sea urchin density",2025,0.475,2026,NA,NA,NA,"ind/m²"
"BEHELOKY","Sea urchin density",2025,0.6775,2026,NA,NA,NA,"ind/m²"
"BELAVENOKY","Sea urchin density",2025,NA,2026,1.935,NA,NA,"ind/m²"
"BEVATO","Sea urchin density",2025,NA,2026,0.0975,NA,NA,"ind/m²"
"FIERENAMASAY","Sea urchin density",2025,NA,2026,2.895,NA,NA,"ind/m²"
"FITSITIKA","Sea urchin density",2025,0.0566666666666667,2026,NA,NA,NA,"ind/m²"
"IFATY","Sea urchin density",2025,0.0869565217391304,2026,NA,NA,NA,"ind/m²"
"ITAMPOLO","Sea urchin density",2025,0.5125,2026,NA,NA,NA,"ind/m²"
"MANGILY","Sea urchin density",2025,0.0733333333333333,2026,NA,NA,NA,"ind/m²"
"MAROMENA","Sea urchin density",2025,1.285,2026,NA,NA,NA,"ind/m²"
"MOROMBE","Sea urchin density",2025,NA,2026,0.02625,NA,NA,"ind/m²"
"NOSY SATRA","Sea urchin density",2025,0.5625,2026,NA,NA,NA,"ind/m²"
"RATAFENJIKA","Sea urchin density",2025,NA,2026,0.118333333333333,NA,NA,"ind/m²"
"RETSELA","Sea urchin density",2025,0.42,2026,NA,NA,NA,"ind/m²"
"SALARY","Sea urchin density",2025,NA,2026,0.79125,NA,NA,"ind/m²"
"TANILAHY","Sea urchin density",2025,0.035,2026,NA,NA,NA,"ind/m²"
"TSANDAMBA","Sea urchin density",2025,NA,2026,1.135,NA,NA,"ind/m²"
